Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteGhibli,Chrome 69.0.3497.92,,2018-09-14 16:10:20,2018-09-14 16:11:14,"54,126s",PASSED
,,,,,,
Test Cases/OpenBrowser,Chrome 69.0.3497.92,,2018-09-14 16:10:21,2018-09-14 16:10:33,"12,414s",PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-14 16:10:21,2018-09-14 16:10:26,"4,207s",PASSED
maximizeWindow,Chrome 69.0.3497.92,,2018-09-14 16:10:26,2018-09-14 16:10:27,"1,178s",PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-14 16:10:27,2018-09-14 16:10:31,"4,029s",PASSED
waitForElementPresent,Chrome 69.0.3497.92,,2018-09-14 16:10:31,2018-09-14 16:10:31,"0,349s",PASSED
,,,,,,
Test Cases/Login,Chrome 69.0.3497.92,,2018-09-14 16:10:33,2018-09-14 16:10:43,"10,065s",PASSED
Statement - input_login = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_username),Chrome 69.0.3497.92,,2018-09-14 16:10:34,2018-09-14 16:10:34,"0,019s",PASSED
Statement - input_pwd = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_password),Chrome 69.0.3497.92,,2018-09-14 16:10:34,2018-09-14 16:10:34,"0,015s",PASSED
verifyElementPresent,Chrome 69.0.3497.92,,2018-09-14 16:10:34,2018-09-14 16:10:34,"0,051s",PASSED
verifyElementPresent,Chrome 69.0.3497.92,,2018-09-14 16:10:34,2018-09-14 16:10:34,"0,043s",PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:10:34,2018-09-14 16:10:34,"0,273s",PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:10:34,2018-09-14 16:10:34,"0,211s",PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:10:34,2018-09-14 16:10:36,"2,048s",PASSED
Statement - text1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/div_Incorrect Username or Pass)),Chrome 69.0.3497.92,,2018-09-14 16:10:36,2018-09-14 16:10:36,"0,074s",PASSED
Statement - assert text1 == true,Chrome 69.0.3497.92,,2018-09-14 16:10:36,2018-09-14 16:10:36,"0,011s",PASSED
doubleClick,Chrome 69.0.3497.92,,2018-09-14 16:10:36,2018-09-14 16:10:37,"0,186s",PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:10:37,2018-09-14 16:10:39,"2,014s",PASSED
waitForElementPresent,Chrome 69.0.3497.92,,2018-09-14 16:10:39,2018-09-14 16:10:39,"0,032s",PASSED
"Statement - text2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Incorrect Username or Password"", false)",Chrome 69.0.3497.92,,2018-09-14 16:10:39,2018-09-14 16:10:39,"0,104s",PASSED
Statement - assert text2 == true,Chrome 69.0.3497.92,,2018-09-14 16:10:39,2018-09-14 16:10:39,"0,007s",PASSED
focus,Chrome 69.0.3497.92,,2018-09-14 16:10:39,2018-09-14 16:10:39,"0,075s",PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:10:39,2018-09-14 16:10:39,"0,143s",PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:10:39,2018-09-14 16:10:40,"1,009s",PASSED
focus,Chrome 69.0.3497.92,,2018-09-14 16:10:40,2018-09-14 16:10:40,"0,115s",PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:10:40,2018-09-14 16:10:40,"0,107s",PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:10:40,2018-09-14 16:10:41,"1,010s",PASSED
sendKeys,Chrome 69.0.3497.92,,2018-09-14 16:10:41,2018-09-14 16:10:41,"0,087s",PASSED
,,,,,,
Test Cases/Dashboard,Chrome 69.0.3497.92,,2018-09-14 16:10:43,2018-09-14 16:10:48,"4,775s",PASSED
"Statement - maps = [com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_transferStatus), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_destinationQueueManager), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_correlationID), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflowdashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflow), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_transfersearch), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_setting), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_monitordashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_logout), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_clearfilter), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_applyfilter)]",Chrome 69.0.3497.92,,2018-09-14 16:10:43,2018-09-14 16:10:44,"0,095s",PASSED
Statement - total = 0,Chrome 69.0.3497.92,,2018-09-14 16:10:44,2018-09-14 16:10:44,"0,012s",PASSED
Statement - ok = 0,Chrome 69.0.3497.92,,2018-09-14 16:10:44,2018-09-14 16:10:44,"0,010s",PASSED
Statement - ko = 0,Chrome 69.0.3497.92,,2018-09-14 16:10:44,2018-09-14 16:10:44,"0,012s",PASSED
Statement - For (def element : maps),Chrome 69.0.3497.92,,2018-09-14 16:10:44,2018-09-14 16:10:46,"2,302s",PASSED
"Statement - println(""END TEST"")",Chrome 69.0.3497.92,,2018-09-14 16:10:46,2018-09-14 16:10:46,"0,010s",PASSED
"Statement - println(""> TOTALE:"" + total)",Chrome 69.0.3497.92,,2018-09-14 16:10:46,2018-09-14 16:10:46,"0,012s",PASSED
"Statement - println(""> OK:"" + ok)",Chrome 69.0.3497.92,,2018-09-14 16:10:46,2018-09-14 16:10:46,"0,011s",PASSED
"Statement - println(""> KO:"" + ko)",Chrome 69.0.3497.92,,2018-09-14 16:10:46,2018-09-14 16:10:46,"0,013s",PASSED
,,,,,,
Test Cases/DashboardPeerServer,Chrome 69.0.3497.92,,2018-09-14 16:10:48,2018-09-14 16:10:56,"7,999s",PASSED
comment,Chrome 69.0.3497.92,,2018-09-14 16:10:48,2018-09-14 16:10:48,"0,015s",PASSED
waitForElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:48,2018-09-14 16:10:48,"0,088s",PASSED
verifyElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:48,2018-09-14 16:10:48,"0,053s",PASSED
verifyElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:48,2018-09-14 16:10:49,"0,066s",PASSED
verifyElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,064s",PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,138s",PASSED
waitForElementPresent,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,084s",PASSED
verifyElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,057s",PASSED
verifyElementNotPresent,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,137s",PASSED
verifyElementPresent,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,042s",PASSED
verifyElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,062s",PASSED
comment,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,010s",PASSED
verifyElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,069s",PASSED
verifyElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,058s",PASSED
verifyElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,071s",PASSED
verifyElementPresent,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,027s",PASSED
comment,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,013s",PASSED
verifyElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,068s",PASSED
comment,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:49,"0,011s",PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:10:49,2018-09-14 16:10:50,"0,144s",PASSED
waitForElementVisible,Chrome 69.0.3497.92,,2018-09-14 16:10:50,2018-09-14 16:10:50,"0,603s",PASSED
comment,Chrome 69.0.3497.92,,2018-09-14 16:10:50,2018-09-14 16:10:50,"0,011s",PASSED
