Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteGhibli,,,2018-07-25 10:13:09,2018-07-25 10:13:29,"19,846s",FAILED
,,,,,,
Test Cases/OpenBrowser,,,2018-07-25 10:13:09,2018-07-25 10:13:15,"5,311s",FAILED
openBrowser,,,2018-07-25 10:13:10,2018-07-25 10:13:13,"2,852s",FAILED
,,,,,,
Test Cases/Login,,,2018-07-25 10:13:15,2018-07-25 10:13:17,"2,316s",FAILED
Statement - input_login = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_username),,,2018-07-25 10:13:15,2018-07-25 10:13:15,"0,026s",PASSED
Statement - input_pwd = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_password),,,2018-07-25 10:13:15,2018-07-25 10:13:15,"0,011s",PASSED
verifyElementPresent,,,2018-07-25 10:13:15,2018-07-25 10:13:15,"0,030s",FAILED
,,,,,,
Test Cases/Dashboard,,,2018-07-25 10:13:17,2018-07-25 10:13:19,"2,340s",FAILED
"Statement - maps = [com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_transferStatus), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_sourceQueueManager), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_destinationQueueManager), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_correlationID), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflowdashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflow), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_transfersearch), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_setting), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_monitordashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_logout), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_clearfilter), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_applyfilter)]",,,2018-07-25 10:13:17,2018-07-25 10:13:17,"0,072s",PASSED
Statement - total = 0,,,2018-07-25 10:13:17,2018-07-25 10:13:17,"0,006s",PASSED
Statement - ok = 0,,,2018-07-25 10:13:17,2018-07-25 10:13:17,"0,006s",PASSED
Statement - ko = 0,,,2018-07-25 10:13:17,2018-07-25 10:13:17,"0,008s",PASSED
Statement - For (def element : maps),,,2018-07-25 10:13:17,2018-07-25 10:13:17,"0,081s",FAILED
,,,,,,
Test Cases/DashboardPeerServer,,,2018-07-25 10:13:19,2018-07-25 10:13:22,"2,269s",FAILED
comment,,,2018-07-25 10:13:20,2018-07-25 10:13:20,"0,025s",PASSED
waitForElementVisible,,,2018-07-25 10:13:20,2018-07-25 10:13:20,"0,036s",FAILED
,,,,,,
Test Cases/DashboardTransportFilter,,,2018-07-25 10:13:22,2018-07-25 10:13:24,"2,262s",FAILED
Statement - select_status = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/transferStatusCLICK),,,2018-07-25 10:13:22,2018-07-25 10:13:22,"0,011s",PASSED
"Statement - optionMap = [""SUBMITTED"":""li_SUBMITTED"", ""SUSPENDED"":""li_SUSPENDED"", ""RESUMED"":""li_RESUMED"", ""STARTED"":""li_STARTED"", ""STARTED_RETRY"":""li_STARTED_RETRY"", ... ]",,,2018-07-25 10:13:22,2018-07-25 10:13:22,"0,006s",PASSED
"Statement - optionMap.each({ java.lang.Object optionIndex, java.lang.Object optionsValue -> ... })",,,2018-07-25 10:13:22,2018-07-25 10:13:22,"0,019s",FAILED
,,,,,,
Test Cases/MenuSettings,,,2018-07-25 10:13:24,2018-07-25 10:13:26,"2,266s",FAILED
Statement - btn_dash = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(GhibliDashboard/btn_monitordashboard),,,2018-07-25 10:13:24,2018-07-25 10:13:24,"0,012s",PASSED
"Statement - css = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(btn_dash, ""class"", STOP_ON_FAILURE)",,,2018-07-25 10:13:24,2018-07-25 10:13:24,"0,028s",FAILED
,,,,,,
Test Cases/Logout,,,2018-07-25 10:13:26,2018-07-25 10:13:28,"2,192s",FAILED
Statement - test = false,,,2018-07-25 10:13:26,2018-07-25 10:13:26,"0,006s",PASSED
"Statement - test = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(GhibliDashboard/btn_logout), 1)",,,2018-07-25 10:13:26,2018-07-25 10:13:26,"0,017s",FAILED
