Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SuiteGhibli,IE 11,,2018-09-14 16:28:16,2018-09-14 16:30:06,"1m - 49,726s",PASSED
,,,,,,
Test Cases/OpenBrowser,IE 11,,2018-09-14 16:28:17,2018-09-14 16:28:28,"10,838s",PASSED
openBrowser,IE 11,,2018-09-14 16:28:17,2018-09-14 16:28:20,"2,877s",PASSED
maximizeWindow,IE 11,,2018-09-14 16:28:20,2018-09-14 16:28:20,"0,061s",PASSED
navigateToUrl,IE 11,,2018-09-14 16:28:20,2018-09-14 16:28:25,"5,129s",PASSED
waitForElementPresent,IE 11,,2018-09-14 16:28:25,2018-09-14 16:28:25,"0,242s",PASSED
,,,,,,
Test Cases/Login,IE 11,,2018-09-14 16:28:28,2018-09-14 16:28:43,"15,769s",PASSED
Statement - input_login = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_username),IE 11,,2018-09-14 16:28:28,2018-09-14 16:28:28,"0,015s",PASSED
Statement - input_pwd = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/input_password),IE 11,,2018-09-14 16:28:28,2018-09-14 16:28:28,"0,012s",PASSED
verifyElementPresent,IE 11,,2018-09-14 16:28:28,2018-09-14 16:28:28,"0,131s",PASSED
verifyElementPresent,IE 11,,2018-09-14 16:28:28,2018-09-14 16:28:28,"0,122s",PASSED
setText,IE 11,,2018-09-14 16:28:28,2018-09-14 16:28:29,"1,118s",PASSED
setText,IE 11,,2018-09-14 16:28:29,2018-09-14 16:28:30,"0,888s",PASSED
delay,IE 11,,2018-09-14 16:28:30,2018-09-14 16:28:32,"2,032s",PASSED
Statement - text1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliLoginPage/div_Incorrect Username or Pass)),IE 11,,2018-09-14 16:28:32,2018-09-14 16:28:32,"0,311s",PASSED
Statement - assert text1 == true,IE 11,,2018-09-14 16:28:32,2018-09-14 16:28:32,"0,008s",PASSED
doubleClick,IE 11,,2018-09-14 16:28:32,2018-09-14 16:28:33,"0,850s",PASSED
delay,IE 11,,2018-09-14 16:28:33,2018-09-14 16:28:35,"2,015s",PASSED
waitForElementPresent,IE 11,,2018-09-14 16:28:35,2018-09-14 16:28:35,"0,138s",PASSED
"Statement - text2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyTextPresent(""Incorrect Username or Password"", false)",IE 11,,2018-09-14 16:28:35,2018-09-14 16:28:36,"0,417s",PASSED
Statement - assert text2 == true,IE 11,,2018-09-14 16:28:36,2018-09-14 16:28:36,"0,008s",PASSED
focus,IE 11,,2018-09-14 16:28:36,2018-09-14 16:28:36,"0,559s",PASSED
setText,IE 11,,2018-09-14 16:28:36,2018-09-14 16:28:37,"0,921s",PASSED
delay,IE 11,,2018-09-14 16:28:37,2018-09-14 16:28:38,"1,009s",PASSED
focus,IE 11,,2018-09-14 16:28:38,2018-09-14 16:28:39,"0,542s",PASSED
setText,IE 11,,2018-09-14 16:28:39,2018-09-14 16:28:40,"0,843s",PASSED
delay,IE 11,,2018-09-14 16:28:40,2018-09-14 16:28:41,"1,013s",PASSED
sendKeys,IE 11,,2018-09-14 16:28:41,2018-09-14 16:28:41,"0,517s",PASSED
,,,,,,
Test Cases/Dashboard,IE 11,,2018-09-14 16:28:43,2018-09-14 16:28:49,"5,294s",PASSED
"Statement - maps = [com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_transferStatus), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_destinationQueueManager), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/input_correlationID), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflowdashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_workflow), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_transfersearch), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_setting), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_monitordashboard), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_logout), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_clearfilter), com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/GhibliDashboard/btn_applyfilter)]",IE 11,,2018-09-14 16:28:43,2018-09-14 16:28:44,"0,056s",PASSED
Statement - total = 0,IE 11,,2018-09-14 16:28:44,2018-09-14 16:28:44,"0,006s",PASSED
Statement - ok = 0,IE 11,,2018-09-14 16:28:44,2018-09-14 16:28:44,"0,006s",PASSED
Statement - ko = 0,IE 11,,2018-09-14 16:28:44,2018-09-14 16:28:44,"0,008s",PASSED
Statement - For (def element : maps),IE 11,,2018-09-14 16:28:44,2018-09-14 16:28:46,"2,909s",PASSED
"Statement - println(""END TEST"")",IE 11,,2018-09-14 16:28:46,2018-09-14 16:28:46,"0,011s",PASSED
"Statement - println(""> TOTALE:"" + total)",IE 11,,2018-09-14 16:28:46,2018-09-14 16:28:46,"0,011s",PASSED
"Statement - println(""> OK:"" + ok)",IE 11,,2018-09-14 16:28:46,2018-09-14 16:28:46,"0,012s",PASSED
"Statement - println(""> KO:"" + ko)",IE 11,,2018-09-14 16:28:46,2018-09-14 16:28:47,"0,011s",PASSED
,,,,,,
Test Cases/DashboardPeerServer,IE 11,,2018-09-14 16:28:49,2018-09-14 16:29:07,"18,195s",PASSED
